timestampMs,keys_typed,errors,total_words_completed
1776745060207,6,0,77
1776745061207,3,3,77
1776745062208,2,0,77
1776745063208,7,0,78
1776745064208,7,0,79
1776745065208,6,0,80
1776745066208,2,0,80
1776745067208,6,0,81
1776745068209,6,1,81
1776745069209,5,0,82
1776745070209,4,0,82
1776745071209,6,0,83
1776745072209,6,0,84
1776745073209,6,0,85
1776745074210,8,4,85
1776745075210,5,0,86
1776745076210,4,0,87
1776745077210,4,0,87
1776745078210,6,0,88
1776745079210,5,0,89
1776745080211,4,0,90
1776745081211,8,0,91
1776745082211,9,0,91
1776745083211,5,0,92
1776745084211,5,1,93
1776745085211,1,0,93
1776745086212,4,0,93
1776745087212,5,0,94
1776745088212,6,3,94
1776745089212,6,0,95
1776745090212,7,0,96
1776745091212,7,0,96
1776745092213,6,0,97
1776745093213,8,0,98
1776745094213,2,2,98
1776745095213,6,0,98
1776745096213,4,0,99
1776745097213,8,0,100
1776745098214,6,0,101
1776745099214,9,0,101
1776745100214,6,0,103
1776745101214,4,0,103
1776745102214,5,0,104
1776745103214,4,0,105
1776745104214,10,0,106
1776745105215,5,0,107
1776745106215,8,0,108
1776745107215,6,0,109
1776745108215,7,0,110
1776745109215,9,0,111
1776745110215,9,0,112
1776745111215,5,2,112
1776745112216,7,0,113
1776745113216,12,1,114
1776745114216,5,4,114
1776745115216,4,3,114
1776745116216,6,0,115
1776745117217,7,0,116
1776745118217,3,1,116
1776745119217,1,0,116
1776745120217,11,0,117
1776745121217,6,0,118
1776745122217,4,0,118
1776745123218,10,0,120
1776745124218,6,0,121
1776745125218,4,0,122
1776745126218,8,0,123
1776745127218,9,0,123
1776745128219,6,4,124
1776745129219,2,1,124
1776745130219,0,0,124
1776745131219,6,0,125
1776745132219,7,0,126
1776745133219,6,0,127
1776745134220,3,0,127
1776745135220,5,0,128
1776745136220,12,1,129
1776745137220,5,2,129
1776745138220,8,0,131
1776745139220,9,0,132
1776745140220,5,0,133
1776745141221,5,2,133
1776745142221,3,3,133
1776745143221,0,0,133
1776745144221,5,2,133
1776745145221,4,0,133
1776745146222,4,0,134
1776745147222,7,0,135
1776745148222,6,0,135
1776745149222,9,0,137
1776745150223,7,0,137
1776745151223,6,0,138
1776745152223,8,0,139
1776745153223,7,0,139
1776745154223,7,0,140
1776745155223,10,0,141
1776745156224,5,0,142
1776745157224,7,0,143
1776745158224,6,1,143
1776745159224,2,1,143
1776745160224,8,0,144
1776745161224,6,4,144
1776745162225,6,2,144
1776745163225,2,0,144
1776745164225,5,0,145
1776745165225,10,0,145
1776745166225,2,0,146
1776745167225,5,0,147
1776745168226,9,0,147
1776745169226,6,0,148
1776745170226,6,0,149
1776745171226,6,0,150
1776745172226,6,0,151
1776745173226,10,0,153
1776745174226,7,4,153
1776745175226,4,0,153
1776745176227,5,2,154
1776745177227,2,2,154
1776745178227,5,0,154
1776745179227,1,0,155
1776745180227,9,0,156
1776745181227,5,0,157
1776745182228,5,0,158
1776745183228,8,0,159
1776745184228,7,0,160
1776745185228,5,0,160
1776745186228,4,0,161
1776745187228,10,0,161
1776745188229,5,0,163
1776745189229,5,0,163
1776745190229,7,0,164
1776745191229,9,0,165
1776745192229,10,0,166
1776745193230,10,0,168
1776745194230,10,0,170
1776745195230,10,0,171
1776745196230,10,0,173
1776745197230,4,2,173
1776745198230,6,5,173
1776745199230,6,0,173
1776745200231,11,0,175
1776745201231,9,1,176
1776745202231,3,1,176
1776745203231,9,2,177
1776745204231,2,0,177
1776745205231,6,0,177
1776745206231,5,0,178
1776745207232,9,0,179
1776745208232,12,0,180
1776745209232,8,0,182
1776745210232,11,0,183
1776745211232,9,0,183
1776745212233,11,1,185
1776745213233,4,2,185
1776745214233,7,0,186
1776745215233,8,0,187
1776745216233,10,0,188
1776745217233,9,0,189
1776745218233,8,0,190
1776745219233,10,1,191
1776745220234,2,0,191
1776745221234,3,1,191
1776745222234,8,1,192
1776745223234,5,1,192
1776745224234,11,0,193
1776745225234,6,4,194
1776745226234,10,0,195
1776745227235,8,0,196
1776745228235,2,1,197
1776745229235,10,0,198
1776745230235,1,1,198
1776745231235,6,0,198
1776745232235,8,0,199
1776745233235,9,0,200
1776745234236,7,0,201
1776745235236,8,0,202
1776745236236,10,0,202
1776745237236,12,0,204
1776745238236,7,0,205
1776745239236,9,0,205
1776745240236,11,0,207
1776745241237,10,0,209
1776745242237,8,0,210
1776745243237,4,3,210
1776745244237,7,0,211
1776745245238,9,0,211
1776745246238,10,0,212
1776745247238,12,0,214
1776745248238,6,0,215
