timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1776112558762,200,-358,-7.8662109375E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558762,200,-353,-7.75634765625E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558762,200,-347,-7.62451171875E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558762,200,-342,-7.5146484375E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558763,200,-338,-7.426757812499999E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558763,200,-332,-7.294921875E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558763,200,-328,-7.207031249999999E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558780,200,-325,-7.14111328125E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558780,200,-321,-7.053222656250001E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558780,200,-315,-6.92138671875E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558780,200,-311,-6.833496093750001E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558780,200,-285,-6.26220703125E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558781,200,60,1.318359375E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558781,200,-102,-2.2412109374999998E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558781,200,-103,-2.26318359375E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558782,200,-48,-1.0546875E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558782,200,300,6.591796875E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558782,200,177,3.8891601562500006E-5,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558782,200,872,1.916015625E-4,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558795,200,1180,2.5927734375E-4,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558795,200,1657,3.6408691406249996E-4,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558795,200,1207,2.652099609375E-4,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
1776112558795,200,774,1.70068359375E-4,0,0,0,570714,155644,20543,27221,22703,16758806,21737,18861,Tag0,unknown
